chunk_id,kind,title,easy_text,modern_text,action_text
mg_c01,common,뒤받침과 앞열림,"옛 기록은 뒤쪽이 받쳐 주고 앞이 열린 자리를 기운이 모이기 쉬운 구조로 보았어요. 산을 등지고 물을 바라본다는 말을, 쉽게는 등 뒤가 막히고 앞이 트인 자리라고 읽으면 됩니다","오늘날에는 등 뒤에 언덕·건물·벽이 있고 앞이 시야가 열린 집으로 이해하면 됩니다. 명당이라는 말 대신, 머물며 일하기에 균형이 괜찮은 형태로 봅니다","등 뒤가 허전하면 낮은 가구로 받치고, 앞쪽 창은 가리지 말고 시야를 열어 두세요"
mg_c02,common,왼쪽과 오른쪽,옛 기록은 왼쪽과 오른쪽이 자리를 감싸 주는지 보았어요. 한쪽으로만 치우치면 흐름이 기울어진다고 적혀 있습니다,좌우가 비슷한 높이·밀도면 마음이 한쪽으로 기울지 않습니다. 한쪽이 큰 도로나 빈 땅이면 그쪽 창을 두껍게 다루면 됩니다,기울어진 쪽 창가에 낮은 수납이나 식물로 무게를 보태 보세요
mg_c03,common,앞이 열리는 자리,옛 기록은 자리 앞이 트여 기운이 들어오는 길을 ‘앞이 열린 형’으로 적었습니다. 앞이 막히면 들어오기 어렵다고 보았습니다,현관·창 앞이 트이면 사람·빛·공기가 들어오기 쉽습니다. 다만 너무 빠르면 들어온 것이 머물지 못합니다,"입구 앞을 단순하게 두고, 바로 앞에 큰 장애물을 치우세요"
mg_c04,common,뒤가 받치는 자리,옛 기록은 등 뒤가 든든하면 오래 머무르기 좋다고 보았습니다. 뒤가 빠지면 마음이 들뜬다고 적혀 있어요,침대·의자·대표 자리의 등 뒤에 벽이 있으면 안정감이 납니다. 창만 등지면 자극이 큽니다,앉는 자리 등 뒤에 벽이나 낮은 장을 두세요
mg_c05,common,빠른 외부 흐름,옛 기록은 길이 자리를 정면으로 빠르게 스치면 외부 자극이 세다고 보았습니다. 흉한 땅이라기보다 지나가는 기운이 강한 구조입니다,큰 도로가 창을 바로 보면 소음과 시선이 들어옵니다. 매출 숫자가 아니라 자극의 세기입니다,"두꺼운 커튼이나 낮은 가림으로 시선을 한 겹 거르고, 휴식 공간은 안쪽으로 두세요"
mg_c06,common,머물거나 지나감,"옛 기록은 물이나 길이 자리를 감싸듯 지나면 기운이 모이고, 직선으로 스치면 빠지기 쉽다고 보았습니다","사람이 잠깐 들렀다 나가는 자리와, 앉아 결정하는 자리는 다릅니다. 유입과 체류를 같이 봅니다",들어온 사람이 멈출 의자·카운터·테이블을 입구 직후가 아니라 한 박자 안에 두세요
mg_c07,common,현관은 들어오는 문,옛 기록은 드나드는 문을 자리의 숨구멍처럼 보았습니다. 문이 복잡하면 들어오는 흐름이 흩어진다고 적혀 있습니다,신발·택배·광고물이 현관을 막으면 첫 느낌이 흐려집니다. 좋은 터가 아니라 첫 동선의 문제입니다,현관을 비우고 한 방향으로만 열리게 정리하세요
mg_s01,site,터의 성향,같은 땅도 안정·성장·활동처럼 결이 갈립니다. 옛 기록은 모이는 땅과 움직이는 땅을 나누어 보았습니다,카드와 지형으로 상대 비율만 말합니다. 절대 운세가 아닙니다,성향에 맞게 머무는 방과 움직이는 방을 나누어 쓰세요
mg_s02,site,앞과 뒤와 좌우,"한눈에 볼 때는 앞이 열리는지, 뒤가 받치는지, 좌우가 기울지 않는지를 먼저 봅니다",이 세 가지가 맞으면 머물며 활동하기에 무난한 편입니다. 하나만 빠져도 보완할 곳이 분명해집니다,빠진 한쪽만 가구·커튼·식물로 보완하세요
mg_s03,site,물과 길,옛 기록은 물길과 길이 어디서 들어와 어디로 빠지는지를 중히 여겼습니다,지금은 도로·골목·엘리베이터 홀이 그 역할을 합니다. 숫자가 아니라 방향입니다,"들어오는 길을 밝히고, 빠지는 쪽은 바로 열어 두지 마세요"
