chunk_id,parent_id,id,source_file,title,category,location_name,address,sido,sigungu,lat,lng,elevation,slope,aspect,raw_text,land_easy,wealth_easy,path_easy,people_easy,caution_easy,bad_easy,polarity,easy_full,glance_easy,land_modern,wealth_modern,people_modern,caution_modern,summary_one_liner,card_land,card_wealth,card_people,card_stability,card_quote
doc_0001_c00,doc_0001,doc_0001,pdf0010001.pdf,머리말,머리말,,,,,,,,,,"머 리 말 풍수지리는 조선조에 더욱 왕성하여 발전하였다. 그 일부 사고 방식은 지금까지도 계속 되고 있으며 최근 고대사에 대한 관심이 높아지고 우리 것을 좀더 알자는 생각이 젊은 사람들에게 많아진 것은 매우 다행스런 일이다. 풍수지리법 이란 자연과학과 수학적 이치는 실로 정연하여 한치의 착오가 없는 만고불변의 학문이요 대도라 말할 수 있다. 나경 （패철）의 방위측정은 수학적 원리를 이해하여야 오행과 육갑을 계산하는 것이다. 길산（吉山）, 흉산 （凶山）을 논하는 것은 사람이 생사 （生死）를 영위하다가 마지막에 가는 곳은 산이며 흙이 되는 것이다. 풍수의 목적은 땅의 힘에 의하여 인생의 행복을 구하는데 목적 이 있다. 양택 （陽宅）, 음택 （陰宅）은 주택과 묘자리를 길지 （吉地） 에 정하여 조상과 부모를 유택에 모시고 행운과 자손의 번영을 꾀하려 하는 것이다. 풍수지리 원리는 묘지는 조상의 택지요 주택은 본인과 자손의 집이므로 뿌리와 나뭇잎의 관계이다. 풍수지리 공부는 산, 용（山 = 龍）의 형상을 보아서 길흉을 판단 하는 것이 사람의 얼굴에 길흉을 보는 것과 같다 하겠다. 사람의 관상도 얼굴만 보는 것이 아니라 마음을 보는 것이 중요한 것처럼 산의 형상도 겉만 보는 것이 아니라 산 （山）의 마음인 용혈사수향 좌 （龍穴沙水向坐）를 자세히 관찰하는 이기법이 중요하다.","방향을 재는 나침판의 방위측정은 수학적 원리를 이해하여야 오행과 육갑을 계산하는 것이다 길산, 흉산을 논하는 것은 사람이 생사를 영위하다가 마지막에 가는 곳은 산이며 흙이 되는 것이다 풍수지리 공부는 산, 용의 형상을 보아서 길흉을 판단 하는 것이 사람의 얼굴에 길흉을 보는 것과 같다",,,"풍수의 목적은 땅의 힘에 의하여 인생의 행복을 구하는데 목적이 있다 사람이 사는 집, 묘자리는 주택과 묘자리를 길지에 정하여 조상과 부모를 유택에 모시고 행운과 자손의 번영을 꾀하려 하는 것이다 주택은 본인과 자손의 집이므로 뿌리와 나뭇잎의 관계이다",,,이론,"땅은 방향을 재는 나침판의 방위측정은 수학적 원리를 이해하여야 오행과 육갑을 계산하는 것이다 길산, 흉산을 논하는 것은 사람이 생사를 영위하다가 마지막에 가는 곳은 산이며 흙이 되는 것이다 풍수지리 공부는 산, 용의 형상을 보아서 길흉을 판단 하는 것이 사람의 얼굴에 길흉을 보는 것과 같다 사람은 풍수의 목적은 땅의 힘에 의하여 인생의 행복을 구하는데 목적이 있다 사람이 사는 집, 묘자리는 주택과 묘자리를 길지에 정하여 조상과 부모를 유택에 모시고 행운과 자손의 번영을 꾀하려 하는 것이다 주택은 본인과 자손의 집이므로 뿌리와 나뭇잎의 관계이다",땅 모양 기록이 있는 자리다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,"옛 기록으로 보면 방향을 재는 나침판의 방위측정은 수학적 원리를 이해하여야 오행과 육갑을 계산하는 것이다 길산, 흉산을 논하는 것은 사람이 생사를 영위하다가 마지막에 가는 곳은 산이며 흙이 되는 것이다 풍수지리 공부는 산, 용의 형상을…",,고전 사람 기록: 자손→사람 관계의 이어짐,,이 자리는 사람 관계가 이어지는 기록이다,4,1,2,3,사람 관계가 이어지는 기록
doc_0001_c01,doc_0001,doc_0001,pdf0010001.pdf,머리말,머리말,,,,,,,,,,"것이 중요한 것처럼 산의 형상도 겉만 보는 것이 아니라 산 （山）의 마음인 용혈사수향 좌 （龍穴沙水向坐）를 자세히 관찰하는 이기법이 중요하다. 풍수의 사상은 천지인 （天地人）의 합일 （合一） 사상이며 조상 （祖上）, 부모에게 효도하는 상생법 （相生法） 이며 자손들의 번창을 바라는 희생적 사상이다. 사람에게 뿌리깊은 이 풍수사상은 음향 오행과 60갑자의 원리에 의하여 기운이 창출되고, 천지인 （天地人） 이 조화를 측정하는 것이다. 한국풍수학은 고려문학에서 발행한 명당과 택지법의 보충하는 뜻에서 전국의 명산 명당혈지를 자세히 적은 책자로서 구묘를 연구하고 정성을 들어 새로운 길지를 찾는데 도움이 되게 하였다. 끝으로 풍수의 역사와 원리는 깊고 범위가 넓어 쓰고 싶은 것 들이 너무 많았지만 재주 부족하여 독자의 궁금증을 다소나마 이 해를 드리고자 썼다. 이는 시작이고 그 뒤는 독자 여러분이 발굴 해 달라는 부탁을 하고 싶기 때문이다. 그리하여 우리 문화는 더욱 살찌고 알찬 것이 되며 소중한 효의 사상을 오랜 전통으로 간직하고 그 자손의 번영을 추구하기 기원한다. 1997 孟 春 편저자 김성 영",것이 중요한 것처럼 산의 형상도 겉만 보는 것이 아니라 산의 마음인 산줄기·사람이 자리 잡는 중심·감싸는 산·물길·방향 좌를 자세히 관찰하는 이기법이 중요하다 은 옛 기록의 택지법의 보충하는 뜻에서 전국의 명산 머물기 괜찮은 중심 자리를 자세히 적은 책자로서 구묘를 연구하고 정성을 들어 새로운 길지를 찾는데 도움이 되게 하였다 이는 시작이고 그 뒤는 독자 여러분이 발굴 해 달라는 부탁을 하고 싶기 때문이다,,,"풍수의 사상은 천지인의 합일 사상이며 조상, 부모에게 효도하는 서로 북돋우는 관계법이며 자손들의 번창을 바라는 희생적 사상이다 그리하여 우리 문화는 더욱 살찌고 알찬 것이 되며 소중한 효의 사상을 오랜 전통으로 간직하고 그 자손의 번영을 추구하기 기원한다",,,이론,"땅은 것이 중요한 것처럼 산의 형상도 겉만 보는 것이 아니라 산의 마음인 산줄기·사람이 자리 잡는 중심·감싸는 산·물길·방향 좌를 자세히 관찰하는 이기법이 중요하다 은 옛 기록의 택지법의 보충하는 뜻에서 전국의 명산 머물기 괜찮은 중심 자리를 자세히 적은 책자로서 구묘를 연구하고 정성을 들어 새로운 길지를 찾는데 도움이 되게 하였다 이는 시작이고 그 뒤는 독자 여러분이 발굴 해 달라는 부탁을 하고 싶기 때문이다 사람은 풍수의 사상은 천지인의 합일 사상이며 조상, 부모에게 효도하는 서로 북돋우는 관계법이며 자손들의 번창을 바라는 희생적 사상이다 그리하여 우리 문화는 더욱 살찌고 알찬 것이 되며 소중한 효의 사상을 오랜 전통으로 간직하고 그 자손의 번영을 추구하기 기원한다",땅 모양 기록이 있는 자리다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,옛 기록으로 보면 것이 중요한 것처럼 산의 형상도 겉만 보는 것이 아니라 산의 마음인 산줄기·사람이 자리 잡는 중심·감싸는 산·물길·방향 좌를 자세히 관찰하는 이기법이 중요하다 은 옛 기록의 택지법의 보충하는 뜻에서 전국의 명산 머물기 괜찮은 중심 자리를 자세히 적은…,,고전 사람 기록: 자손→사람 관계의 이어짐,,이 자리는 사람 관계가 이어지는 기록이다,4,1,2,3,사람 관계가 이어지는 기록
doc_0002_c00,doc_0002,doc_0002,pdf0010001.pdf,풍수 이론 1,이론,,,,,,,,,,"풍수의 세계 전후좌우의 방위 .4영（四靈） 중국의 고서인『백호통의（白虎通義）』에 나타난 방위에 대 해 살펴보자. 전후좌우의 4방위에는 각각 동물의 이름이 붙어 있다. 중앙 을「토（土）」로 하고 남쪽을 향한 왼쪽이「청룡（靑龍）」, 오른 쪽이「백호（白虎）」, 앞이「주작（朱崔）」, 뒤를 r현무（玄武）」라고 칭한다. 4방을 둘러싼 산이 이와 같은 모양을 하고 있으면 최고의 이상적인 조건이 어떻게 산이 된다. 그러나 풍수사가 아닌 보통 사람들은 이런 모양으로 보일까 하는 의문이 자연스럽게 생길 것이다. 여기서는 가장 좋은 조건만을 적어본다. 명당（비堂）의 그림 전후좌우 방위의 의미 • 좌는 청룡으로써의 목（木） : 청룡은 힘차게 꿈틀거리는 힘 （方）을 나타내는 것 같은 산（山） • 우는 백호로써의 금（金） : 백호는 고양이처럼 예쁘고 우아 한 인상의 산（山） • 앞은 주작으로써의 불（火） : 주작은 하늘을 뛰노는 것 같은 활발하고 화려한 느낌의 산（山） • 뒤는 현무로써의 물 （水 ） : 현무는 거북이와 같이 말끔한 토（土） : 중심은 자기의 위치를 산（山） • 중앙은 후토（後土）로써의 가리키고 토라고 칭한다 이상 말한 것은 최량의 경우로 그 예로는 중국의 유명한 유 학자인 공자（孔子）의 주택이 있다. 태산의 발 밑에 자리잡고 옆에는 말수（洙水）, 사수（©水）라는 두 개의 강이 흐르고 있으 며 저택의 전방에는 평원이 퍼져 있었다. 이것은 풍수의 조건 에 가장 적당하다.","풍수의 세계 전후좌우의 방위.4영 중국의 고서인『오른쪽을 받치는 산통의』에 나타난 방위에 대 해 살펴보자. 중앙을「토」로하고 남쪽을 향한 왼쪽이「왼쪽을 감싸 주는 산」, 오른쪽이「오른쪽을 받치는 산」, 앞이「앞쪽의 열린 들」, 뒤를 r뒤를 든든히 받치는 산」라고 칭한다 4방을 둘러싼 산이 이와 같은 모양을 하고 있으면 최고의 이상적인 조건이 어떻게 산이 된다",,"태산의 발 밑에 자리잡고 옆에는 말수, 사수라는 두 개의 강이 흐르고 있으 며 저택의 전방에는 평원이 퍼져 있었다",,,,이론,"땅은 풍수의 세계 전후좌우의 방위.4영 중국의 고서인『오른쪽을 받치는 산통의』에 나타난 방위에 대 해 살펴보자. 중앙을「토」로하고 남쪽을 향한 왼쪽이「왼쪽을 감싸 주는 산」, 오른쪽이「오른쪽을 받치는 산」, 앞이「앞쪽의 열린 들」, 뒤를 r뒤를 든든히 받치는 산」라고 칭한다 4방을 둘러싼 산이 이와 같은 모양을 하고 있으면 최고의 이상적인 조건이 어떻게 산이 된다 길목은 태산의 발 밑에 자리잡고 옆에는 말수, 사수라는 두 개의 강이 흐르고 있으 며 저택의 전방에는 평원이 퍼져 있었다",이 자리는 빠지기 쉬운 흐름이다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,"옛 기록으로 보면 풍수의 세계 전후좌우의 방위.4영 중국의 고서인『오른쪽을 받치는 산통의』에 나타난 방위에 대 해 살펴보자. 중앙을「토」로하고 남쪽을 향한 왼쪽이「왼쪽을 감싸 주는 산」, 오른쪽이「오른쪽을 받치는 산」…",고전에서 부귀·살림을 말한 대목은 사람·거래가 모이고 이어지는 흐름이다. 현대 상권 통계가 아니다,,,이 자리는 거래가 모이기 쉬운 흐름이다,4,2,1,3,거래가 모이기 쉬운 흐름
doc_0002_c01,doc_0002,doc_0002,pdf0010001.pdf,풍수 이론 1,이론,,,,,,,,,,"옆에는 말수（洙水）, 사수（©水）라는 두 개의 강이 흐르고 있으 며 저택의 전방에는 평원이 퍼져 있었다. 이것은 풍수의 조건 에 가장 적당하다. 반대로 최악의 예도 있다. 백호가 앉아서 묘의 사체를 먹고 있거나 용이 다발을 틀고 질투하고 있는 모양, 머리를 감추고 있는 현무 위세가 나쁘고 날아가 버리는 것 같은 주작의 모 양 둥의 산에 둘러싸이면 최악이다. 중국의 사서（史書）인 r삼국사（三國史h 에 格）가 군대를 이끌고 서쪽으로 갔을 때의 이르자 관로가 나무에 매달려 무장인 관로（管 일인데 어느 곳에 탄식했다. 그것을 본 부하가 걱정해서 물으니 다음과 같이 대답했다고 한다. “이곳은 현무가 머리를 감추고 용에 발이 없다. 백호가 사 체를 먹고 있고 주작이 울고 있지 않은가. 사방이 모두 위험 하다.” 관로의 풍수 보는 법은 딱 맞아서 그의 군대는 전멸했다고 하는데 이같이 중국에서는 전쟁의 판단에도 풍수가 쓰여졌다. 여 s 주작 이 （*） 적（赤） 겨울 현무 감（次） 혹（黑）",옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,,옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,,,옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,이론,옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,이 자리는 모임과 빠짐이 함께 있는 흐름이다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,고전에서 부귀·살림을 말한 대목은 길이 닿아 네트워크가 붙기 쉬운 자리이다. 현대 상권 통계가 아니다,,옛 기록은 앞뒤·좌우 산의 균형이 깨진 자리를 조심하라고 적어 두었어요. 쉽게 말하면 한쪽이 너무 세거나 받침이 없으면 들어온 흐름이 오래 머물기 어렵다는 뜻이에요.,"이 자리는 거래가 모이기 쉬운 흐름, 주의를 같이 보는 자리이다",4,3,1,3,"거래가 모이기 쉬운 흐름, 주의를 같이 보는 자리"
doc_0003_c00,doc_0003,doc_0003,pdf0010001.pdf,풍수 이론 2,이론,,,,,,,,,,"오행（五行）의 형성（形成） 현대과학과는 다른 증국고대의 사고（思考）로써 “우주 의 기는 음과 양의 두 개로 나뉘어 이 음양 두 가지 기에서 오행（五行）이 흘러나온다. 이 오행이 상호작용을 해서 지구 와 만물을 낳았다”는 것이 된다. 오행탄생의 그림 발견된 음양의 두 기와 그곳에서 갈라진 역학이 오행이 사람의 운세를 결 정한다. 오행에는「목 • 수 • 토 • 금 • 화（木 • 水 • 土 •金•火）」가 있다. 이 오 행의 상호작용에 따라 상 대를 육성하기도 하며 방 해하기도 한다. 옆의 그림은 우주（태극） 에서 음양의 두 기가 생기 고 다시 오행이 생기는 그 린이 다. 27 P의 표는 태어난 해 에 의힌 오행을 가리키고 있다. 표기되어 （天干）,있는 천간 십이지（十三支）는 운세와 관련되어 있다. 이 오행이 당신의 운영을 결정한다 오행의 상성관계（相性關係） 사람은 오행 중 어딘가에 속해 있다. 그것을 결정되는 방법 은 28 p의「생년조견표（生年早見表）』를 보면 된다. 오행의 상호작용은 풍수를 알아보는데 중요한 포인트가 된다. 다음 그림은「토는 금에 좋고 금은 수에 좋다」라는 것을 계속 반복하고 있다. 반대방향이 없는 일방통행이므로 금은 토에게 영향을 주지 않는다. 이것은 사람을 사용될 때에도 이용된다. 일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다.",,,오행의 형성 현대과학과는 다른 증국고대의 사고로써 “우주의 기는 음과 양의 두 개로 나뉘어이 음양 두 가지 기에서 오행이 흘러나온다 일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다,,,,이론,길목은 오행의 형성 현대과학과는 다른 증국고대의 사고로써 “우주의 기는 음과 양의 두 개로 나뉘어이 음양 두 가지 기에서 오행이 흘러나온다 일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다,이 자리는 모임과 빠짐이 함께 있는 흐름이다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,,고전에서 부귀·살림을 말한 대목은 길이 닿아 네트워크가 붙기 쉬운 자리이다. 현대 상권 통계가 아니다,,,이 자리는 거래가 모이기 쉬운 흐름이다,2,3,1,3,거래가 모이기 쉬운 흐름
doc_0003_c01,doc_0003,doc_0003,pdf0010001.pdf,풍수 이론 2,이론,,,,,,,,,,"않는다. 이것은 사람을 사용될 때에도 이용된다. 일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다. 아 오행상생（五行相生） : 상성이 좋은 관계 상생（相生）이란 상호간의 출생, 촉진, 발전의 의지를 나타낸 다. 오행상생은 부모와 자식 관계와 같은 것으로 예를 들면 r목」은 r화」의 부모인 셈이다. 불은 목이 상성이 좋다 （木生火） : 나무가 탐으로써 불이 생겨난다 토는 불이 상성이 좋다 （火生土） : 불은 타면 재가 되어서 흙이 된다 금은 흙이 상성이 좋다 （土生金） : 흙 속에는 금이 포함되어 있고 금은 흙과 돌로 정련（精 燥）되어 생긴다 수는 금이 상성이 좋다 （金生水） : 금속으로 차갑게 되어 결로（結齒）가 생기고 그것이 모여 서 물이 된다. 목은 수가 상성이 좋다 （水生木） : 물은 나무의 뿌리를 적시고 잎이 나게 하여 꽃을 피운다 오행상극（五行相刺）一상성이 맞지 않는 관계 상극이란 상호간의 극제（류制）, 제약（制約）, 극복（免服）의 의 지를 가리킨다. 흙은 목과 상성이 나쁘다 （木라土） : 나무는 흙에 뿌리를 뻗고 흙의 양분을 빨아먹는다 금은 화와 상성이 나쁘다 （火하金） : 불은 금속을 녹서 버린다 수는 토와 상성이 나쁘다 （土地K） :",,,일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다,,,,이론,길목은 일정한 순서에 따라 돌면 순조롭게 편안해지고 반 대로 방향이 바뀌면 트러블이나 배신이 생긴다,이 자리는 사람이 모이기 쉬운 흐름이다. 이론 기록이라 이 자리의 길흉을 단정하지 않는다,,고전에서 부귀·살림을 말한 대목은 길이 닿아 네트워크가 붙기 쉬운 자리이다. 현대 상권 통계가 아니다,,,이 자리는 거래가 모이기 쉬운 흐름이다,2,3,1,3,거래가 모이기 쉬운 흐름
doc_0004_c00,doc_0004,doc_0004,pdf0010001.pdf,풍수 이론 3,이론,,,,,,,,,,"흙의 제방은 물의 흐름을 막아 버린다 • 목은 금과 상성이 나쁘다 （金호木） : 금속으로 만들어진 칼은 나무를 잘라버린다 • 화는 수와 상성이 나쁘다 （水라火） : 불은 물을 부으면 꺼져버린다 여지껏 살펴본 것처럼 상성이 좋은 결합으로써「나무」를 예로 들어 설명하자면 r목/인 사람은 물과 상성이 좋으므로 집에 물통을 두는 것이 좋다. 이 오행에는 만물만사（方物方事）만이 아닌 인간도 포함된다. 사원채용, 인간관계 등에 이 오행상호 육성의 프로세스를 이 용한다. 아 오행의 방위와 4계의 관계 다음으로 기원전 중국책인 r춘추번로（春秋繫露）』에 따른 오행의 결정법은 다음과 같다. 각각 네 재의 방위과 네 개의 계절에 위치하여 의미를 갖는다. 21 P의 오행계열분류표의 r5방（五方）』과 r5계（五季）」의 의미는 다음과 같다. 후목』은 동쪽에 있고 봄을 담당한다. 입춘 후부터 입하 전의 19일까지. r화」는 남쪽에 있고 여름을 담당한다. 입하 후부터 입추 전의 19일까지. r토』는 중앙에 있고 4계절을 담당한다. 입춘, 입하, 입추, 입동의 18일 전 r금』은 서쪽에 있고 가을을 담당한다. 입추 후부터 입동 전의 19일까지. 「수』는 북쪽에 있고 겨울을 담당한다. 입동 후부터 입춘 전의 19일까지.",,,,,,,이론,,이론 기록이라 이 자리의 길흉을 단정하지 않는다,,,,,,2,1,1,3,이론 기록이라 이 자리의 길흉을 단정하지 않는다
doc_0004_c01,doc_0004,doc_0004,pdf0010001.pdf,풍수 이론 3,이론,,,,,,,,,,"은 서쪽에 있고 가을을 담당한다. 입추 후부터 입동 전의 19일까지. 「수』는 북쪽에 있고 겨울을 담당한다. 입동 후부터 입춘 전의 19일까지. 게 （孝） 춘 （春） 하(ff) （입훈, 입하,입추,추 （秋） 동 （冬） 입동 전의 18일） 욱 （木） 왕 (K) 휴 （休） 수（囚） 사（死） 상（相） 화 （火） 상（相） 왕 05) 휴 （休） 수（囚） 사（死） 토 （土） 사（死） 상（相） 왕 ((E) 휴（休） 수（1자） 수 (*) 휴（休） 수 （1지） 사（死） 상（相） 왕 0S) 긍 （金） 수（囚） 사（死） 상（相） 왕 (HE) 휴（床） C 주스 왕（R）：왕성, 상（相）:다음으로 왕성. 휴（休）:휴식, 수（I지）:쇠약, 사（死）:가장 쇠약",,,,,,,이론,,이론 기록이라 이 자리의 길흉을 단정하지 않는다,,,,,,2,1,1,3,이론 기록이라 이 자리의 길흉을 단정하지 않는다
doc_0005_c00,doc_0005,doc_0005,pdf0010001.pdf,풍수 이론 4,이론,,,,,,,,,,"4계절의 담당자라하는 것은 “책임자” 또는 “파악하는 자”라 고 해석된다. 오행에 있는 상생（相生）과 상극（相》!1）은 계절에 도 관계된다. 다음의 표를 보면 봄에는. 목이 쇠약하다. 왕성하고 토는 여름에는 화가 왕성하고 금은 쇠약하며 가을에는 금이 왕성하고 목이 쇠약하다. 겨울은 물이 왕성하고 화가 쇠 약하다는 것을 알 수 있다. 건강에도 영향을 미치는 만물에 관련된 오행 다음 표에는 오행 외에 방위의 문제 등 모두 11종이 적혀있 다. 오행에 다섯 개의 영소（靈素）가 있듯이 방위에는 동서남북 과 중앙이 있다. 계절에는 4계절과 장하（長M）를 합해 총 다섯 가지이다. 기（氣）에는 바람, 난한（發寒）, 습도（濕度）가 있고 색 （色）에는 오색이 있듯이 모두 다섯 개의 요소가 있다. 한방 요법에서는 인체의 다섯 내장의 기의 성쇠룰 조젓하는 데에 이 오행과의 관련에 의한다. 아래의 표를 보기에 앞서 먼저 오행상생을 본다. 예를 들어 오행의 『오행에 에 r목」은 r수」와 맞는다. 다시 다음 페이지의 계열되는 분류표」를 보고 오행의 의해「목」에는「수」가 좋으므로「수」의 그림의 r수상목（水相木）」 행을 구하고 세 로로 본다. 그러면 북이 좋은 방향으로 나타날 것이다. 그렇 다면 P의 상성의 설명과 모순되는'것은 아닌가하는 의심이 생길 것이다. 그러나 변함이 日의「목/은 동쪽과 봄이 좋은 것에는 없다.",,,,,,,이론,,이론 기록이라 이 자리의 길흉을 단정하지 않는다,,,,,,2,1,1,3,이론 기록이라 이 자리의 길흉을 단정하지 않는다
doc_0005_c01,doc_0005,doc_0005,pdf0010001.pdf,풍수 이론 4,이론,,,,,,,,,,"것이다. 그렇 다면 P의 상성의 설명과 모순되는'것은 아닌가하는 의심이 생길 것이다. 그러나 변함이 日의「목/은 동쪽과 봄이 좋은 것에는 없다. 그러므로「목」은 동쪽과 북쪽이 좋고 봄과 겨 울이 좋으며 색은 청, 검은색이 이로운 것이다.",,,,,,,이론,,이론 기록이라 이 자리의 길흉을 단정하지 않는다,,,,,,2,1,1,3,이론 기록이라 이 자리의 길흉을 단정하지 않는다
